supplierSku,barcode,name,price,stockQty
MAD-1001,5054215100011,Shimano Deore CN-M6100 Chain 12sp,24.99,140
MAD-1002,5054215100028,Continental GP5000 700x25c Tyre,54.50,60
MAD-1003,5054215100035,Fizik Vento Argo R3 Saddle,89.99,12
MAD-1004,5054215100042,Shimano Deore BR-M6100 Brake Pads (pair),12.75,85
MAD-1005,5054215100059,Continental Race 28 Inner Tube 700x18-25,4.25,300
MAD-1006,5054215100066,SRAM PC-1130 Chain 11sp,18.50,95
MAD-1007,5054215100073,Shimano SLX RT-M7100 Disc Rotor 160mm,22.00,44
MAD-1008,5054215100080,Vittoria Corsa Control 700x28c Tyre,45.00,50
MAD-1009,5054215100097,Shimano Deore XT M8100 Rear Derailleur,64.99,18
MAD-1010,5054215100103,Jagwire Elite Sealed Brake Cable Kit,19.99,70
MAD-1011,5054215100110,Continental Grand Prix 5000 700x28c Tyre,55.50,40
MAD-1012,5054215100127,Shimano Deore M6100 2-Piece Crankset 170mm,49.99,26
MAD-1013,5054215100134,SKS Raceblade Pro Mudguard Set,42.00,33
MAD-1014,5054215100141,Shimano Deore XT Chain 12sp,29.99,110
MAD-1015,5054215100158,Ergon GA3 Grips,24.50,55
MAD-1016,5054215100165,Shimano Deore M6100 Cassette 11-51T 12sp,54.99,22
MAD-1017,5054215100172,Continental Ultra Sport III 700x25c Tyre,19.99,90
MAD-1018,5054215100189,Park Tool PCS-10.3 Repair Stand,175.00,6
MAD-1019,5054215100196,Shimano Deore XT BR-M8100 Brake Pads (pair),16.50,64
MAD-1020,5054215100202,Continental Race 28 Inner Tube 700x28-32,4.50,250
