row_id,bucket,original_priority,feature,source_status,area,comparison_citation,primary_package,decision_flags,planning_note
314,Release 1,R1-001,Multi-tenant hosted service,BUILT-in-app,Platform,"MP §3, ""Postgres multi-tenancy with 25 tables RLS-enabled and FORCEd""",W01,D12,
219,Release 1,R1-002,Shop profile,BUILT-in-app,Shop settings,"MP PF-1, ""A new shop signs up and reaches an empty till""",W17,,
209,Release 1,R1-003,Staff user accounts,BUILT-in-app,"Staff, hours and leave","MP TILL-5, ""`is_owner` gates the eight team routes only""",W02,,
210,Release 1,R1-004,Role model beyond owner/staff,IN-SPEC (not built),"Staff, hours and leave","MP TILL-5; AC §6 ACC-04/ACC-08, ""Define command-level rights and actor attribution""",W02,D12,
217,Release 1,R1-005,Staff deactivation with live-session revocation,IN-SPEC (not built),"Staff, hours and leave",AC-55,W02,D12,
176,Release 1,R1-006,Customer records,BUILT-in-app,Customers and items,"MP §3, ""till, inventory, sales history … customer booking portal""",W02,,
177,Release 1,R1-007,"Customer search by last name, email or phone",BUILT-in-app,Customers and items,MP §3; WS §4 W0 item 3 describes phone matching in guest booking,W02,,
181,Release 1,R1-008,Customer detail view,BUILT-in-app,Customers and items,MP §3 (customer records and sales history),W02,,
184,Release 1,R1-009,Bike/item as a first-class record,BUILT-in-app,Customers and items,"WS §1, ""We already have `customer_bikes` as a first-class entity""",W02,,
200,Release 1,R1-010,Bookable service catalogue with name and category,IN-SPEC (not built),Service types,"AC §6 BOOK-04, ""portal uses bookable services""",W04,,
201,Release 1,R1-011,Service cost,BUILT-in-app,Service types,"AC-23 fixture, ""A service has a saved price""; MP §3 (till and inventory)",W04,,
202,Release 1,R1-012,Service duration,IN-SPEC (not built),Service types,"AC-07, ""UI and server agree on the selected service's duration""; AC-23 snapshot rule",W04,,
105,Release 1,R1-013,Eleven workshop statuses,IN-SPEC (not built),"Statuses, SLA and workflow rules","WS §2 ""five statuses""; AC §6 JOB-02/JOB-19, ""Separate booking/work/payment/custody states and allowed transitions""",W03,D09,
63,Release 1,R1-014,Digital work order / job card,BUILT-in-app,Job card,"WS §2, ""Have — five statuses, no state machine, no history""",W03,,
65,Release 1,R1-015,Human-readable job number,IN-SPEC (not built),Job card,"AC §6 JOB-14–15, ""Stable job reference … distinct from database ID""",W03,,
66,Release 1,R1-016,Minimum job-card number setting,NOT-MENTIONED,Job card,—,W03,D10,
211,Release 1,R1-017,Per-technician working-hours grid,IN-SPEC (not built),"Staff, hours and leave",AC-19; AC §6 CAL-07–13,W05,,
213,Release 1,R1-018,Shop closing dates / bank holidays,IN-SPEC (not built),"Staff, hours and leave","AC-19, ""a bank holiday is added""",W05,,
212,Release 1,R1-019,Staff leave,IN-SPEC (not built),"Staff, hours and leave","AC-19, ""A mechanic is ill""",W05,,
214,Release 1,R1-020,Recurring blocks (lunch),IN-SPEC (not built),"Staff, hours and leave","AC-19, ""lunch becomes a recurring block""",W05,,
41,Release 1,R1-021,Opening-hours clamping server-side,IN-SPEC (not built),Calendar / diary,"MP DS-8, ""03:00 rejected""",W05,,
42,Release 1,R1-022,Working-day / closed-day blocking server-side,IN-SPEC (not built),Calendar / diary,"MP DS-8, ""closed Sunday rejected""",W05,,
36,Release 1,R1-023,Per-day hours-available strip per technician,IN-SPEC (not built),Calendar / diary,AC-19; HT§10 item 7 (staff hours/leave driving the availability strip),W06,,
48,Release 1,R1-024,Capacity gate on customer booking,BUILT-in-app,Calendar / diary,"WS §2, ""server-side capacity gate""",W05,,
25,Release 1,R1-025,Arrival lead time before opening,IN-SPEC (not built),Booking widget / customer front door,AC-20,W05,,
4,Release 1,R1-026,Booking lead-time in days setting,NOT-MENTIONED,Booking widget / customer front door,—,W05,,
27,Release 1,R1-027,Workshop diary with per-mechanic columns,BUILT-in-app,Calendar / diary,"MP §3 ""Real and working"": ""workshop diary with per-mechanic columns""",W06,,
32,Release 1,R1-028,Technicians as calendar resource rows,BUILT-in-app,Calendar / diary,"MP §3, per-mechanic columns",W06,,
28,Release 1,R1-029,Day view,BUILT-in-app,Calendar / diary,"MP §3 (diary); PD ""Devices"", scheduling on a larger screen",W06,,
43,Release 1,R1-030,5 / 15 / 30-minute calendar grid,NOT-MENTIONED,Calendar / diary,—,W06,,
39,Release 1,R1-031,Drag-to-reschedule,BUILT-in-app,Calendar / diary,MP §3 diary; WS §1 notes staff-move rules exist in `public/app.js`,W06,,
33,Release 1,R1-032,Sort calendar resources,NOT-MENTIONED,Calendar / diary,—,W06,,
35,Release 1,R1-033,Per-technician Configure control,NOT-MENTIONED,Calendar / diary,—,W06,,
29,Release 1,R1-034,Week view,NOT-MENTIONED,Calendar / diary,—,W06,,
31,Release 1,R1-035,Month view,NOT-MENTIONED,Calendar / diary,—,W06,,
37,Release 1,R1-036,Colour-coded status legend on the calendar,NOT-MENTIONED,Calendar / diary,—,W06,,
38,Release 1,R1-037,Renameable status labels on the calendar,NOT-MENTIONED,Calendar / diary,"AC §6 JOB-02/JOB-19 defines states, not renaming",W06,,
46,Release 1,R1-038,Show original booking date on the calendar,NOT-MENTIONED,Calendar / diary,—,W06,,
47,Release 1,R1-039,Bike type shown on the calendar card,NOT-MENTIONED,Calendar / diary,—,W06,,
49,Release 1,R1-040,Drop-off day reserves capacity without promising a start time,BUILT-in-prototype,Calendar / diary,"PD ""Booking""; OV P-04; AC-16",W05,D06,
50,Release 1,R1-041,Reschedule refused when capacity is gone,BUILT-in-prototype,Calendar / diary,"OV §""Also proven"", ""Sam has no remaining capacity that day.""",W05,,
64,Release 1,R1-042,Job card opens as a modal over the list,BUILT-in-prototype,Job card,"OV P-06, ""inspection dialog"" layout checks",W11,,
67,Release 1,R1-043,Scheduled date-time on the card,BUILT-in-app,Job card,MP §3 diary,W11,,
68,Release 1,R1-044,Technician assignment on the card,BUILT-in-prototype,Job card,"PD ""Work allocation""; OV P-05, ""Assigned to Jack""",W11,,
70,Release 1,R1-045,Item/bike chip on the card,BUILT-in-app,Job card,"WS §1, `customer_bikes` is a first-class entity",W11,,
76,Release 1,R1-046,"Attachments panel, drag-and-drop, 20MB cap",BUILT-in-app,Job card,MP DS-9 names attachments as an existing surface needing tests,W11,D11,
73,Release 1,R1-047,Status dropdown on the card,BUILT-in-app,Job card,"WS §2, five statuses",W11,,
84,Release 1,R1-048,"Product search by name, SKU or other",BUILT-in-app,Job card,"WS §2, ""Parts drawn from inventory onto a job — Have""",W11,,
85,Release 1,R1-049,All / Service Types filter on product search,NOT-MENTIONED,Job card,—,W11,,
86,Release 1,R1-050,Line items with SKU and price,BUILT-in-app,Job card,WS §2; WS §4 W2 blocker on `sale_document_items`,W11,,
87,Release 1,R1-051,Tax and total on the card,BUILT-in-app,Job card,MP §3 (till); MP TILL-4 notes VAT is not yet stored data,W11,,
93,Release 1,R1-052,Barcode exact-match auto-add,NOT-MENTIONED,Job card,—,W11,,
98,Release 1,R1-053,SKU groups on the card,NOT-MENTIONED,Job card,—,W11,D10,
80,Release 1,R1-054,Move job control,BUILT-in-app,Job card,MP §3 diary (drag-to-reschedule),W11,,
99,Release 1,R1-055,"Update-an-item dialog (manufacturer, model, year, colour, serial, size, type)",IN-SPEC (not built),Job card,WS §4 W3 item 14; MP BIKE-1,W11,D06,
100,Release 1,R1-056,Select a different item on the job,NOT-MENTIONED,Job card,—,W11,D06,
96,Release 1,R1-057,Service-writer shown on the card,NOT-MENTIONED,Job card,—,W11,,
103,Release 1,R1-058,Customer-level service history (job with no bike),IN-SPEC (not built),Job card,WS §4 W1 item 8; MP WS-4,W03,,
104,Release 1,R1-059,"Job status history — who changed what, when",IN-SPEC (not built),Job card,WS §4 W1 item 6; MP WS-1,W03,,
92,Release 1,R1-060,Lock job card on collection,IN-SPEC (not built),Job card,"WS §4 W0 item 1, ""rejecting edits to a completed job""; MP DS-8",W03,D09,
122,Release 1,R1-061,Reopen a completed job,IN-SPEC (not built),"Statuses, SLA and workflow rules","AC-28; AC §6 JOB-02/JOB-19, ""reopen preserves history""",W03,D09,
123,Release 1,R1-062,Stale-edit / concurrent-edit conflict handling,IN-SPEC (not built),"Statuses, SLA and workflow rules",AC-10; AC §6 JOB-23/CAL-10,W03,D09,
97,Release 1,R1-063,Ctrl+Enter to send,NOT-MENTIONED,Job card,—,W07,,
