row_id,bucket,original_priority,feature,source_status,area,comparison_citation,primary_package,decision_flags,planning_note,current_scope,current_package,scope_change_reason,current_boundary
314,Release 1,R1-001,Multi-tenant hosted service,BUILT-in-app,Platform,"MP §3, ""Postgres multi-tenancy with 25 tables RLS-enabled and FORCEd""",W01,D12,,Release 1,P01,,
219,Release 1,R1-002,Shop profile,BUILT-in-app,Shop settings,"MP PF-1, ""A new shop signs up and reaches an empty till""",W17,,,Release 1,P09,,
209,Release 1,R1-003,Staff user accounts,BUILT-in-app,"Staff, hours and leave","MP TILL-5, ""`is_owner` gates the eight team routes only""",W02,,,Release 1,P01,,
210,Release 1,R1-004,Role model beyond owner/staff,IN-SPEC (not built),"Staff, hours and leave","MP TILL-5; AC §6 ACC-04/ACC-08, ""Define command-level rights and actor attribution""",W02,D12,,Release 1,P01,,
217,Release 1,R1-005,Staff deactivation with live-session revocation,IN-SPEC (not built),"Staff, hours and leave",AC-55,W02,D12,,Release 1,P01,,
176,Release 1,R1-006,Customer records,BUILT-in-app,Customers and items,"MP §3, ""till, inventory, sales history … customer booking portal""",W02,,,Release 1,P02,,
177,Release 1,R1-007,"Customer search by last name, email or phone",BUILT-in-app,Customers and items,MP §3; WS §4 W0 item 3 describes phone matching in guest booking,W02,,,Release 1,P02,,
181,Release 1,R1-008,Customer detail view,BUILT-in-app,Customers and items,MP §3 (customer records and sales history),W02,,,Release 1,P02,,
184,Release 1,R1-009,Bike/item as a first-class record,BUILT-in-app,Customers and items,"WS §1, ""We already have `customer_bikes` as a first-class entity""",W02,,,Release 1,P02,,
200,Release 1,R1-010,Bookable service catalogue with name and category,IN-SPEC (not built),Service types,"AC §6 BOOK-04, ""portal uses bookable services""",W04,,,Release 1,P03,,
201,Release 1,R1-011,Service cost,BUILT-in-app,Service types,"AC-23 fixture, ""A service has a saved price""; MP §3 (till and inventory)",W04,,,Release 1,P03,,
202,Release 1,R1-012,Service duration,IN-SPEC (not built),Service types,"AC-07, ""UI and server agree on the selected service's duration""; AC-23 snapshot rule",W04,,,Release 1,P03,,
105,Release 1,R1-013,Eleven workshop statuses,IN-SPEC (not built),"Statuses, SLA and workflow rules","WS §2 ""five statuses""; AC §6 JOB-02/JOB-19, ""Separate booking/work/payment/custody states and allowed transitions""",W03,D09,,Release 1,P02,,
63,Release 1,R1-014,Digital work order / job card,BUILT-in-app,Job card,"WS §2, ""Have — five statuses, no state machine, no history""",W03,,,Release 1,P02,,
65,Release 1,R1-015,Human-readable job number,IN-SPEC (not built),Job card,"AC §6 JOB-14–15, ""Stable job reference … distinct from database ID""",W03,,,Release 1,P02,,
66,Release 1,R1-016,Minimum job-card number setting,NOT-MENTIONED,Job card,—,W03,D10,,Release 1,P02,,
211,Release 1,R1-017,Per-technician working-hours grid,IN-SPEC (not built),"Staff, hours and leave",AC-19; AC §6 CAL-07–13,W05,,,Release 1,P04,,
213,Release 1,R1-018,Shop closing dates / bank holidays,IN-SPEC (not built),"Staff, hours and leave","AC-19, ""a bank holiday is added""",W05,,,Release 1,P04,,
212,Release 1,R1-019,Staff leave,IN-SPEC (not built),"Staff, hours and leave","AC-19, ""A mechanic is ill""",W05,,,Release 1,P04,,
214,Release 1,R1-020,Recurring blocks (lunch),IN-SPEC (not built),"Staff, hours and leave","AC-19, ""lunch becomes a recurring block""",W05,,,Release 1,P04,,
41,Release 1,R1-021,Opening-hours clamping server-side,IN-SPEC (not built),Calendar / diary,"MP DS-8, ""03:00 rejected""",W05,,,Release 1,P04,,
42,Release 1,R1-022,Working-day / closed-day blocking server-side,IN-SPEC (not built),Calendar / diary,"MP DS-8, ""closed Sunday rejected""",W05,,,Release 1,P04,,
36,Release 1,R1-023,Per-day hours-available strip per technician,IN-SPEC (not built),Calendar / diary,AC-19; HT§10 item 7 (staff hours/leave driving the availability strip),W06,,,Release 1,P04,,
48,Release 1,R1-024,Capacity gate on customer booking,BUILT-in-app,Calendar / diary,"WS §2, ""server-side capacity gate""",W05,,,Release 1,P04,,
25,Release 1,R1-025,Arrival lead time before opening,IN-SPEC (not built),Booking widget / customer front door,AC-20,W05,,,Release 1,P04,,
4,Release 1,R1-026,Booking lead-time in days setting,NOT-MENTIONED,Booking widget / customer front door,—,W05,,,Release 1,P04,,
27,Release 1,R1-027,Workshop diary with per-mechanic columns,BUILT-in-app,Calendar / diary,"MP §3 ""Real and working"": ""workshop diary with per-mechanic columns""",W06,,,Release 1,P04,,
32,Release 1,R1-028,Technicians as calendar resource rows,BUILT-in-app,Calendar / diary,"MP §3, per-mechanic columns",W06,,,Release 1,P04,,
28,Release 1,R1-029,Day view,BUILT-in-app,Calendar / diary,"MP §3 (diary); PD ""Devices"", scheduling on a larger screen",W06,,,Release 1,P04,,
43,Release 1,R1-030,5 / 15 / 30-minute calendar grid,NOT-MENTIONED,Calendar / diary,—,W06,,,Release 1,P04,,
39,Release 1,R1-031,Drag-to-reschedule,BUILT-in-app,Calendar / diary,MP §3 diary; WS §1 notes staff-move rules exist in `public/app.js`,W06,,,Release 1,P04,,
33,Release 1,R1-032,Sort calendar resources,NOT-MENTIONED,Calendar / diary,—,W06,,,Release 1,P04,,
35,Release 1,R1-033,Per-technician Configure control,NOT-MENTIONED,Calendar / diary,—,W06,,,Release 1,P04,,
29,Release 1,R1-034,Week view,NOT-MENTIONED,Calendar / diary,—,W06,,,Release 1,P04,,
31,Release 1,R1-035,Month view,NOT-MENTIONED,Calendar / diary,—,W06,,,Release 1,P04,,
37,Release 1,R1-036,Colour-coded status legend on the calendar,NOT-MENTIONED,Calendar / diary,—,W06,,,Release 1,P04,,
38,Release 1,R1-037,Renameable status labels on the calendar,NOT-MENTIONED,Calendar / diary,"AC §6 JOB-02/JOB-19 defines states, not renaming",W06,,,Release 1,P04,,
46,Release 1,R1-038,Show original booking date on the calendar,NOT-MENTIONED,Calendar / diary,—,W06,,,Release 1,P04,,
47,Release 1,R1-039,Bike type shown on the calendar card,NOT-MENTIONED,Calendar / diary,—,W06,,,Release 1,P04,,
